fm,n_bucket,size_bin,n,recall
anysat,1,<0.1ha,517,0.7369439071566731
anysat,1,0.1-0.3ha,1139,0.7225636523266022
anysat,1,0.3-0.5ha,450,0.7622222222222222
anysat,1,0.5-1ha,427,0.7423887587822015
anysat,1,>1ha,812,0.7906403940886699
clay-v1,1,<0.1ha,213,0.6431924882629108
clay-v1,1,0.1-0.3ha,227,0.5859030837004405
clay-v1,1,0.3-0.5ha,9,0.6666666666666666
clay-v1,2,<0.1ha,242,0.6446280991735537
clay-v1,2,0.1-0.3ha,582,0.6718213058419243
clay-v1,2,0.3-0.5ha,150,0.6733333333333333
clay-v1,2,0.5-1ha,22,0.7272727272727273
clay-v1,3,0.3-0.5ha,17,0.9411764705882353
clay-v1,3,0.5-1ha,39,0.5897435897435898
clay-v1,4-7,<0.1ha,62,0.6612903225806451
clay-v1,4-7,0.1-0.3ha,330,0.6424242424242425
clay-v1,4-7,0.3-0.5ha,274,0.6715328467153284
clay-v1,4-7,0.5-1ha,327,0.6972477064220184
clay-v1,4-7,>1ha,115,0.6956521739130435
clay-v1,8-15,0.5-1ha,38,0.7894736842105263
clay-v1,8-15,>1ha,286,0.7622377622377622
clay-v1,16+,>1ha,408,0.7818627450980392
prithvi-eo-2.0-300m,1,<0.1ha,351,0.7578347578347578
prithvi-eo-2.0-300m,1,0.1-0.3ha,663,0.770739064856712
prithvi-eo-2.0-300m,1,0.3-0.5ha,183,0.7923497267759563
prithvi-eo-2.0-300m,1,0.5-1ha,102,0.8529411764705882
prithvi-eo-2.0-300m,1,>1ha,21,0.8571428571428571
prithvi-eo-2.0-300m,2,<0.1ha,148,0.777027027027027
prithvi-eo-2.0-300m,2,0.1-0.3ha,419,0.7684964200477327
prithvi-eo-2.0-300m,2,0.3-0.5ha,214,0.7990654205607477
prithvi-eo-2.0-300m,2,0.5-1ha,224,0.8348214285714286
prithvi-eo-2.0-300m,2,>1ha,131,0.8702290076335878
prithvi-eo-2.0-300m,3,>1ha,23,0.8260869565217391
prithvi-eo-2.0-300m,4-7,<0.1ha,18,0.8333333333333334
prithvi-eo-2.0-300m,4-7,0.1-0.3ha,57,0.6842105263157895
prithvi-eo-2.0-300m,4-7,0.3-0.5ha,53,0.7358490566037735
prithvi-eo-2.0-300m,4-7,0.5-1ha,99,0.7575757575757576
prithvi-eo-2.0-300m,4-7,>1ha,363,0.8705234159779615
prithvi-eo-2.0-300m,8-15,>1ha,141,0.8226950354609929
prithvi-eo-2.0-300m,16+,>1ha,133,0.6766917293233082
terramind-v1-base,1,<0.1ha,351,0.8176638176638177
terramind-v1-base,1,0.1-0.3ha,663,0.8129713423831071
terramind-v1-base,1,0.3-0.5ha,183,0.8142076502732241
terramind-v1-base,1,0.5-1ha,102,0.8823529411764706
terramind-v1-base,1,>1ha,21,1.0
terramind-v1-base,2,<0.1ha,148,0.7972972972972973
terramind-v1-base,2,0.1-0.3ha,419,0.7756563245823389
terramind-v1-base,2,0.3-0.5ha,214,0.8504672897196262
terramind-v1-base,2,0.5-1ha,224,0.8616071428571429
terramind-v1-base,2,>1ha,131,0.8778625954198473
terramind-v1-base,3,>1ha,23,0.8260869565217391
terramind-v1-base,4-7,<0.1ha,18,1.0
terramind-v1-base,4-7,0.1-0.3ha,57,0.7192982456140351
terramind-v1-base,4-7,0.3-0.5ha,53,0.6792452830188679
terramind-v1-base,4-7,0.5-1ha,99,0.7878787878787878
terramind-v1-base,4-7,>1ha,363,0.8567493112947658
terramind-v1-base,8-15,>1ha,141,0.8297872340425532
terramind-v1-base,16+,>1ha,133,0.6917293233082706
