fm,n_bucket,size_bin,n,recall
anysat,1,<0.1ha,517,0.7176015473887815
anysat,1,0.1-0.3ha,1139,0.7181738366988587
anysat,1,0.3-0.5ha,450,0.7355555555555555
anysat,1,0.5-1ha,427,0.7096018735362998
anysat,1,>1ha,812,0.770935960591133
clay-v1,1,<0.1ha,213,0.9906103286384976
clay-v1,1,0.1-0.3ha,227,0.9911894273127754
clay-v1,1,0.3-0.5ha,9,1.0
clay-v1,2,<0.1ha,242,0.9090909090909091
clay-v1,2,0.1-0.3ha,582,0.9553264604810997
clay-v1,2,0.3-0.5ha,150,0.9666666666666667
clay-v1,2,0.5-1ha,22,0.9545454545454546
clay-v1,3,0.3-0.5ha,17,1.0
clay-v1,3,0.5-1ha,39,0.8717948717948718
clay-v1,4-7,<0.1ha,62,0.6935483870967742
clay-v1,4-7,0.1-0.3ha,330,0.7
clay-v1,4-7,0.3-0.5ha,274,0.6532846715328468
clay-v1,4-7,0.5-1ha,327,0.5902140672782875
clay-v1,4-7,>1ha,115,0.4956521739130435
clay-v1,8-15,0.5-1ha,38,0.23684210526315788
clay-v1,8-15,>1ha,286,0.25874125874125875
clay-v1,16+,>1ha,408,0.056372549019607844
prithvi-eo-2.0-300m,1,<0.1ha,351,0.8917378917378918
prithvi-eo-2.0-300m,1,0.1-0.3ha,663,0.8838612368024132
prithvi-eo-2.0-300m,1,0.3-0.5ha,183,0.9344262295081968
prithvi-eo-2.0-300m,1,0.5-1ha,102,0.9117647058823529
prithvi-eo-2.0-300m,1,>1ha,21,1.0
prithvi-eo-2.0-300m,2,<0.1ha,148,0.777027027027027
prithvi-eo-2.0-300m,2,0.1-0.3ha,419,0.7780429594272077
prithvi-eo-2.0-300m,2,0.3-0.5ha,214,0.780373831775701
prithvi-eo-2.0-300m,2,0.5-1ha,224,0.8035714285714286
prithvi-eo-2.0-300m,2,>1ha,131,0.7633587786259542
prithvi-eo-2.0-300m,3,>1ha,23,0.6521739130434783
prithvi-eo-2.0-300m,4-7,<0.1ha,18,0.8888888888888888
prithvi-eo-2.0-300m,4-7,0.1-0.3ha,57,0.6666666666666666
prithvi-eo-2.0-300m,4-7,0.3-0.5ha,53,0.6037735849056604
prithvi-eo-2.0-300m,4-7,0.5-1ha,99,0.5757575757575758
prithvi-eo-2.0-300m,4-7,>1ha,363,0.7024793388429752
prithvi-eo-2.0-300m,8-15,>1ha,141,0.5460992907801419
prithvi-eo-2.0-300m,16+,>1ha,133,0.49624060150375937
terramind-v1-base,1,<0.1ha,351,0.8974358974358975
terramind-v1-base,1,0.1-0.3ha,663,0.8974358974358975
terramind-v1-base,1,0.3-0.5ha,183,0.907103825136612
terramind-v1-base,1,0.5-1ha,102,0.8529411764705882
terramind-v1-base,1,>1ha,21,1.0
terramind-v1-base,2,<0.1ha,148,0.7972972972972973
terramind-v1-base,2,0.1-0.3ha,419,0.7637231503579952
terramind-v1-base,2,0.3-0.5ha,214,0.8317757009345794
terramind-v1-base,2,0.5-1ha,224,0.8392857142857143
terramind-v1-base,2,>1ha,131,0.7633587786259542
terramind-v1-base,3,>1ha,23,0.6521739130434783
terramind-v1-base,4-7,<0.1ha,18,0.6666666666666666
terramind-v1-base,4-7,0.1-0.3ha,57,0.5789473684210527
terramind-v1-base,4-7,0.3-0.5ha,53,0.6037735849056604
terramind-v1-base,4-7,0.5-1ha,99,0.5858585858585859
terramind-v1-base,4-7,>1ha,363,0.71900826446281
terramind-v1-base,8-15,>1ha,141,0.5177304964539007
terramind-v1-base,16+,>1ha,133,0.3233082706766917
