fm,n_bucket,size_bin,n,recall
anysat,1,<0.1ha,517,0.7369439071566731
anysat,1,0.1-0.3ha,1139,0.7225636523266022
anysat,1,0.3-0.5ha,450,0.7622222222222222
anysat,1,0.5-1ha,427,0.7423887587822015
anysat,1,>1ha,812,0.7906403940886699
clay-v1,1,<0.1ha,517,0.6924564796905223
clay-v1,1,0.1-0.3ha,1139,0.6628621597892889
clay-v1,1,0.3-0.5ha,450,0.7155555555555555
clay-v1,1,0.5-1ha,427,0.6651053864168618
clay-v1,1,>1ha,812,0.7266009852216748
prithvi-eo-2.0-300m,1,<0.1ha,517,0.7485493230174082
prithvi-eo-2.0-300m,1,0.1-0.3ha,1139,0.742756804214223
prithvi-eo-2.0-300m,1,0.3-0.5ha,450,0.7666666666666667
prithvi-eo-2.0-300m,1,0.5-1ha,427,0.7985948477751756
prithvi-eo-2.0-300m,1,>1ha,812,0.8374384236453202
terramind-v1-base,1,<0.1ha,517,0.7678916827852998
terramind-v1-base,1,0.1-0.3ha,1139,0.7848990342405618
terramind-v1-base,1,0.3-0.5ha,450,0.8177777777777778
terramind-v1-base,1,0.5-1ha,427,0.8360655737704918
terramind-v1-base,1,>1ha,812,0.8596059113300493
