fm,n_bucket,size_bin,n,recall
anysat,1,<0.1ha,314,0.6560509554140127
anysat,1,0.1-0.3ha,705,0.6921985815602837
anysat,1,0.3-0.5ha,278,0.7517985611510791
anysat,1,0.5-1ha,290,0.7068965517241379
anysat,1,>1ha,525,0.7028571428571428
clay-v1,1,<0.1ha,126,0.5714285714285714
clay-v1,1,0.1-0.3ha,141,0.5390070921985816
clay-v1,1,0.3-0.5ha,14,0.6428571428571429
clay-v1,2,<0.1ha,139,0.6906474820143885
clay-v1,2,0.1-0.3ha,349,0.6475644699140402
clay-v1,2,0.3-0.5ha,96,0.59375
clay-v1,2,0.5-1ha,26,0.6538461538461539
clay-v1,3,0.3-0.5ha,13,0.5384615384615384
clay-v1,3,0.5-1ha,28,0.5714285714285714
clay-v1,4-7,<0.1ha,49,0.6122448979591837
clay-v1,4-7,0.1-0.3ha,215,0.6325581395348837
clay-v1,4-7,0.3-0.5ha,154,0.7467532467532467
clay-v1,4-7,0.5-1ha,215,0.6837209302325581
clay-v1,4-7,>1ha,84,0.6547619047619048
clay-v1,8-15,0.5-1ha,21,0.9047619047619048
clay-v1,8-15,>1ha,199,0.7386934673366834
clay-v1,16+,>1ha,238,0.5966386554621849
prithvi-eo-2.0-300m,1,<0.1ha,218,0.6834862385321101
prithvi-eo-2.0-300m,1,0.1-0.3ha,427,0.711943793911007
prithvi-eo-2.0-300m,1,0.3-0.5ha,118,0.8220338983050848
prithvi-eo-2.0-300m,1,0.5-1ha,85,0.8
prithvi-eo-2.0-300m,1,>1ha,17,0.7647058823529411
prithvi-eo-2.0-300m,2,<0.1ha,82,0.6707317073170732
prithvi-eo-2.0-300m,2,0.1-0.3ha,244,0.7131147540983607
prithvi-eo-2.0-300m,2,0.3-0.5ha,135,0.7703703703703704
prithvi-eo-2.0-300m,2,0.5-1ha,146,0.815068493150685
prithvi-eo-2.0-300m,2,>1ha,97,0.7938144329896907
prithvi-eo-2.0-300m,3,>1ha,24,0.8333333333333334
prithvi-eo-2.0-300m,4-7,<0.1ha,14,0.7142857142857143
prithvi-eo-2.0-300m,4-7,0.1-0.3ha,34,0.7647058823529411
prithvi-eo-2.0-300m,4-7,0.3-0.5ha,25,0.64
prithvi-eo-2.0-300m,4-7,0.5-1ha,59,0.7627118644067796
prithvi-eo-2.0-300m,4-7,>1ha,215,0.7348837209302326
prithvi-eo-2.0-300m,8-15,>1ha,78,0.7051282051282052
prithvi-eo-2.0-300m,16+,>1ha,94,0.4148936170212766
terramind-v1-base,1,<0.1ha,218,0.6788990825688074
terramind-v1-base,1,0.1-0.3ha,427,0.7189695550351288
terramind-v1-base,1,0.3-0.5ha,118,0.7796610169491526
terramind-v1-base,1,0.5-1ha,85,0.8352941176470589
terramind-v1-base,1,>1ha,17,0.9411764705882353
terramind-v1-base,2,<0.1ha,82,0.6341463414634146
terramind-v1-base,2,0.1-0.3ha,244,0.7254098360655737
terramind-v1-base,2,0.3-0.5ha,135,0.7481481481481481
terramind-v1-base,2,0.5-1ha,146,0.7465753424657534
terramind-v1-base,2,>1ha,97,0.8350515463917526
terramind-v1-base,3,>1ha,24,0.7083333333333334
terramind-v1-base,4-7,<0.1ha,14,0.7142857142857143
terramind-v1-base,4-7,0.1-0.3ha,34,0.7941176470588235
terramind-v1-base,4-7,0.3-0.5ha,25,0.76
terramind-v1-base,4-7,0.5-1ha,59,0.7627118644067796
terramind-v1-base,4-7,>1ha,215,0.7906976744186046
terramind-v1-base,8-15,>1ha,78,0.6025641025641025
terramind-v1-base,16+,>1ha,94,0.48936170212765956
