fm,n_bucket,size_bin,n,recall
anysat,1,<0.1ha,738,0.9295392953929539
anysat,1,0.1-0.3ha,1864,0.9404506437768241
anysat,1,0.3-0.5ha,835,0.911377245508982
anysat,1,0.5-1ha,980,0.926530612244898
anysat,1,>1ha,1731,0.9162333911034084
clay-v1,1,<0.1ha,467,0.8479657387580299
clay-v1,1,0.1-0.3ha,885,0.8112994350282486
clay-v1,1,0.3-0.5ha,195,0.7692307692307693
clay-v1,1,0.5-1ha,69,0.7681159420289855
clay-v1,2,<0.1ha,242,0.8512396694214877
clay-v1,2,0.1-0.3ha,788,0.8553299492385786
clay-v1,2,0.3-0.5ha,431,0.8329466357308585
clay-v1,2,0.5-1ha,438,0.863013698630137
clay-v1,2,>1ha,93,0.7526881720430108
clay-v1,3,0.5-1ha,8,1.0
clay-v1,3,>1ha,29,0.8275862068965517
clay-v1,4-7,<0.1ha,29,0.896551724137931
clay-v1,4-7,0.1-0.3ha,191,0.9109947643979057
clay-v1,4-7,0.3-0.5ha,209,0.8947368421052632
clay-v1,4-7,0.5-1ha,465,0.8774193548387097
clay-v1,4-7,>1ha,881,0.8365493757094211
clay-v1,8-15,>1ha,414,0.8961352657004831
clay-v1,16+,>1ha,312,0.9326923076923077
prithvi-eo-2.0-300m,1,<0.1ha,608,0.7713815789473685
prithvi-eo-2.0-300m,1,0.1-0.3ha,1452,0.7775482093663911
prithvi-eo-2.0-300m,1,0.3-0.5ha,525,0.7276190476190476
prithvi-eo-2.0-300m,1,0.5-1ha,496,0.7217741935483871
prithvi-eo-2.0-300m,1,>1ha,266,0.8383458646616542
prithvi-eo-2.0-300m,2,<0.1ha,127,0.8110236220472441
prithvi-eo-2.0-300m,2,0.1-0.3ha,389,0.7660668380462725
prithvi-eo-2.0-300m,2,0.3-0.5ha,279,0.7992831541218638
prithvi-eo-2.0-300m,2,0.5-1ha,405,0.7950617283950617
prithvi-eo-2.0-300m,2,>1ha,642,0.8068535825545171
prithvi-eo-2.0-300m,3,>1ha,26,0.9230769230769231
prithvi-eo-2.0-300m,4-7,0.1-0.3ha,23,0.8695652173913043
prithvi-eo-2.0-300m,4-7,0.3-0.5ha,31,0.8064516129032258
prithvi-eo-2.0-300m,4-7,0.5-1ha,79,0.7848101265822784
prithvi-eo-2.0-300m,4-7,>1ha,615,0.8227642276422764
prithvi-eo-2.0-300m,8-15,>1ha,119,0.907563025210084
prithvi-eo-2.0-300m,16+,>1ha,63,0.9206349206349206
terramind-v1-base,1,<0.1ha,608,0.7779605263157895
terramind-v1-base,1,0.1-0.3ha,1452,0.7954545454545454
terramind-v1-base,1,0.3-0.5ha,525,0.7790476190476191
terramind-v1-base,1,0.5-1ha,496,0.7580645161290323
terramind-v1-base,1,>1ha,266,0.7969924812030075
terramind-v1-base,2,<0.1ha,127,0.7637795275590551
terramind-v1-base,2,0.1-0.3ha,389,0.7866323907455013
terramind-v1-base,2,0.3-0.5ha,279,0.7921146953405018
terramind-v1-base,2,0.5-1ha,405,0.7950617283950617
terramind-v1-base,2,>1ha,642,0.82398753894081
terramind-v1-base,3,>1ha,26,1.0
terramind-v1-base,4-7,0.1-0.3ha,23,0.9565217391304348
terramind-v1-base,4-7,0.3-0.5ha,31,0.8709677419354839
terramind-v1-base,4-7,0.5-1ha,79,0.8607594936708861
terramind-v1-base,4-7,>1ha,615,0.8341463414634146
terramind-v1-base,8-15,>1ha,119,0.8487394957983193
terramind-v1-base,16+,>1ha,63,0.9047619047619048
