fm,n_bucket,size_bin,n,recall
anysat,1,<0.1ha,517,0.7369439071566731
anysat,1,0.1-0.3ha,1139,0.7225636523266022
anysat,1,0.3-0.5ha,450,0.7622222222222222
anysat,1,0.5-1ha,427,0.7423887587822015
anysat,1,>1ha,812,0.7906403940886699
clay-v1,1,<0.1ha,213,0.6197183098591549
clay-v1,1,0.1-0.3ha,227,0.5682819383259912
clay-v1,1,0.3-0.5ha,9,0.3333333333333333
clay-v1,2,<0.1ha,242,0.5991735537190083
clay-v1,2,0.1-0.3ha,582,0.6168384879725086
clay-v1,2,0.3-0.5ha,150,0.6333333333333333
clay-v1,2,0.5-1ha,22,0.6818181818181818
clay-v1,3,0.3-0.5ha,17,0.4117647058823529
clay-v1,3,0.5-1ha,39,0.6410256410256411
clay-v1,4-7,<0.1ha,62,0.6129032258064516
clay-v1,4-7,0.1-0.3ha,330,0.593939393939394
clay-v1,4-7,0.3-0.5ha,274,0.6715328467153284
clay-v1,4-7,0.5-1ha,327,0.6238532110091743
clay-v1,4-7,>1ha,115,0.6
clay-v1,8-15,0.5-1ha,38,0.7631578947368421
clay-v1,8-15,>1ha,286,0.6888111888111889
clay-v1,16+,>1ha,408,0.7426470588235294
prithvi-eo-2.0-300m,1,<0.1ha,351,0.7378917378917379
prithvi-eo-2.0-300m,1,0.1-0.3ha,663,0.7420814479638009
prithvi-eo-2.0-300m,1,0.3-0.5ha,183,0.7814207650273224
prithvi-eo-2.0-300m,1,0.5-1ha,102,0.7941176470588235
prithvi-eo-2.0-300m,1,>1ha,21,0.8571428571428571
prithvi-eo-2.0-300m,2,<0.1ha,148,0.7094594594594594
prithvi-eo-2.0-300m,2,0.1-0.3ha,419,0.7231503579952268
prithvi-eo-2.0-300m,2,0.3-0.5ha,214,0.8037383177570093
prithvi-eo-2.0-300m,2,0.5-1ha,224,0.8035714285714286
prithvi-eo-2.0-300m,2,>1ha,131,0.8015267175572519
prithvi-eo-2.0-300m,3,>1ha,23,0.782608695652174
prithvi-eo-2.0-300m,4-7,<0.1ha,18,0.8333333333333334
prithvi-eo-2.0-300m,4-7,0.1-0.3ha,57,0.7192982456140351
prithvi-eo-2.0-300m,4-7,0.3-0.5ha,53,0.7169811320754716
prithvi-eo-2.0-300m,4-7,0.5-1ha,99,0.6666666666666666
prithvi-eo-2.0-300m,4-7,>1ha,363,0.7768595041322314
prithvi-eo-2.0-300m,8-15,>1ha,141,0.7801418439716312
prithvi-eo-2.0-300m,16+,>1ha,133,0.7368421052631579
terramind-v1-base,1,<0.1ha,351,0.7806267806267806
terramind-v1-base,1,0.1-0.3ha,663,0.7948717948717948
terramind-v1-base,1,0.3-0.5ha,183,0.7868852459016393
terramind-v1-base,1,0.5-1ha,102,0.7941176470588235
terramind-v1-base,1,>1ha,21,0.9523809523809523
terramind-v1-base,2,<0.1ha,148,0.722972972972973
terramind-v1-base,2,0.1-0.3ha,419,0.7517899761336515
terramind-v1-base,2,0.3-0.5ha,214,0.8084112149532711
terramind-v1-base,2,0.5-1ha,224,0.84375
terramind-v1-base,2,>1ha,131,0.8473282442748091
terramind-v1-base,3,>1ha,23,0.782608695652174
terramind-v1-base,4-7,<0.1ha,18,0.9444444444444444
terramind-v1-base,4-7,0.1-0.3ha,57,0.6491228070175439
terramind-v1-base,4-7,0.3-0.5ha,53,0.6792452830188679
terramind-v1-base,4-7,0.5-1ha,99,0.8181818181818182
terramind-v1-base,4-7,>1ha,363,0.8347107438016529
terramind-v1-base,8-15,>1ha,141,0.7801418439716312
terramind-v1-base,16+,>1ha,133,0.6541353383458647
