fm,n_bucket,size_bin,n,recall
anysat,1,<0.1ha,875,0.8068571428571428
anysat,1,0.1-0.3ha,2151,0.8433286843328685
anysat,1,0.3-0.5ha,859,0.869615832363213
anysat,1,0.5-1ha,888,0.8896396396396397
anysat,1,>1ha,1192,0.8817114093959731
clay-v1,1,<0.1ha,329,0.662613981762918
clay-v1,1,0.1-0.3ha,426,0.6690140845070423
clay-v1,1,0.3-0.5ha,17,0.4117647058823529
clay-v1,2,<0.1ha,398,0.7010050251256281
clay-v1,2,0.1-0.3ha,1085,0.7327188940092166
clay-v1,2,0.3-0.5ha,243,0.7407407407407407
clay-v1,2,0.5-1ha,30,0.7
clay-v1,3,0.3-0.5ha,31,0.7096774193548387
clay-v1,3,0.5-1ha,37,0.7837837837837838
clay-v1,4-7,<0.1ha,148,0.7094594594594594
clay-v1,4-7,0.1-0.3ha,640,0.7328125
clay-v1,4-7,0.3-0.5ha,567,0.7848324514991182
clay-v1,4-7,0.5-1ha,735,0.8095238095238095
clay-v1,4-7,>1ha,190,0.8421052631578947
clay-v1,8-15,0.5-1ha,86,0.8372093023255814
clay-v1,8-15,>1ha,509,0.8526522593320236
clay-v1,16+,>1ha,489,0.8159509202453987
prithvi-eo-2.0-300m,1,<0.1ha,606,0.7392739273927392
prithvi-eo-2.0-300m,1,0.1-0.3ha,1263,0.7838479809976246
prithvi-eo-2.0-300m,1,0.3-0.5ha,324,0.8179012345679012
prithvi-eo-2.0-300m,1,0.5-1ha,192,0.8229166666666666
prithvi-eo-2.0-300m,1,>1ha,23,0.8260869565217391
prithvi-eo-2.0-300m,2,<0.1ha,241,0.6929460580912863
prithvi-eo-2.0-300m,2,0.1-0.3ha,762,0.7454068241469817
prithvi-eo-2.0-300m,2,0.3-0.5ha,405,0.7580246913580246
prithvi-eo-2.0-300m,2,0.5-1ha,476,0.8319327731092437
prithvi-eo-2.0-300m,2,>1ha,201,0.8706467661691543
prithvi-eo-2.0-300m,3,>1ha,31,0.7419354838709677
prithvi-eo-2.0-300m,4-7,<0.1ha,28,0.7857142857142857
prithvi-eo-2.0-300m,4-7,0.1-0.3ha,126,0.7698412698412699
prithvi-eo-2.0-300m,4-7,0.3-0.5ha,130,0.8
prithvi-eo-2.0-300m,4-7,0.5-1ha,219,0.8082191780821918
prithvi-eo-2.0-300m,4-7,>1ha,648,0.8595679012345679
prithvi-eo-2.0-300m,8-15,>1ha,176,0.8068181818181818
prithvi-eo-2.0-300m,16+,>1ha,113,0.5486725663716814
terramind-v1-base,1,<0.1ha,606,0.7442244224422442
terramind-v1-base,1,0.1-0.3ha,1263,0.7957244655581948
terramind-v1-base,1,0.3-0.5ha,324,0.8209876543209876
terramind-v1-base,1,0.5-1ha,192,0.8958333333333334
terramind-v1-base,1,>1ha,23,0.9130434782608695
terramind-v1-base,2,<0.1ha,241,0.7261410788381742
terramind-v1-base,2,0.1-0.3ha,762,0.7598425196850394
terramind-v1-base,2,0.3-0.5ha,405,0.7703703703703704
terramind-v1-base,2,0.5-1ha,476,0.8571428571428571
terramind-v1-base,2,>1ha,201,0.8805970149253731
terramind-v1-base,3,>1ha,31,0.7741935483870968
terramind-v1-base,4-7,<0.1ha,28,0.7857142857142857
terramind-v1-base,4-7,0.1-0.3ha,126,0.7301587301587301
terramind-v1-base,4-7,0.3-0.5ha,130,0.8384615384615385
terramind-v1-base,4-7,0.5-1ha,219,0.7990867579908676
terramind-v1-base,4-7,>1ha,648,0.8641975308641975
terramind-v1-base,8-15,>1ha,176,0.7556818181818182
terramind-v1-base,16+,>1ha,113,0.5575221238938053
