experiment,fm,f1,accuracy,auroc,n_test,span,recall_<0.1ha,recall_0.1-0.3ha,recall_0.3-0.5ha,recall_0.5-1ha,recall_>1ha,n_<0.1ha,n_0.1-0.3ha,n_0.3-0.5ha,n_0.5-1ha,n_>1ha
Nepal_baseline_mean,clay-v1,0.6456426861889343,0.6375809935205183,0.7060036538780934,6945,0.11628045468837844,0.6460348162475822,0.646180860403863,0.6822222222222222,0.6955503512880562,0.7623152709359606,517,1139,450,427,812
Nepal_baseline_mean,prithvi-eo-2.0-300m,0.7471069714930849,0.7419726421886249,0.8243539694402923,6945,0.0632338885116579,0.7659574468085106,0.7655838454784899,0.7888888888888889,0.8220140515222483,0.8288177339901478,517,1139,450,427,812
Nepal_baseline_mean,terramind-v1-base,0.7683441102052291,0.7627069834413247,0.8412689752532801,6945,0.05556046739713738,0.8181818181818182,0.7945566286215979,0.8155555555555556,0.8501170960187353,0.8312807881773399,517,1139,450,427,812
Nepal_baseline_mean,anysat,0.6848865810330691,0.6679625629949604,0.7336158860654376,6945,0.06807674176206768,0.7369439071566731,0.7225636523266022,0.7622222222222222,0.7423887587822015,0.7906403940886699,517,1139,450,427,812
Nepal_scalepool,clay-v1,0.6236842105263158,0.6293736501079914,0.6943961136023916,6945,0.10267519256802049,0.6092843326885881,0.6005267778753293,0.6422222222222222,0.6416861826697893,0.7032019704433498,517,1139,450,427,812
Nepal_scalepool,prithvi-eo-2.0-300m,0.7331786542923434,0.7350611951043916,0.8196180036538782,6945,0.051369009241349683,0.7330754352030948,0.7339771729587358,0.7844444444444445,0.7704918032786885,0.7770935960591133,517,1139,450,427,812
Nepal_scalepool,terramind-v1-base,0.7576280944156591,0.7575233981281497,0.8364523750207606,6945,0.05687197350957385,0.769825918762089,0.771729587357331,0.7844444444444445,0.8266978922716628,0.7992610837438424,517,1139,450,427,812
Nepal_scalepool,anysat,0.6848865810330691,0.6679625629949604,0.7336158860654376,6945,0.06807674176206768,0.7369439071566731,0.7225636523266022,0.7622222222222222,0.7423887587822015,0.7906403940886699,517,1139,450,427,812
Nepal_baseline_MLP,clay-v1,0.7219637413765442,0.750467962562995,0.8378878508553396,6945,0.7247096263970806,0.9168278529980658,0.8884986830553117,0.7777777777777778,0.6042154566744731,0.1921182266009852,517,1139,450,427,812
Nepal_baseline_MLP,prithvi-eo-2.0-300m,0.7629135229251306,0.764722822174226,0.8545359990034878,6945,0.20116530571409508,0.8588007736943907,0.8340649692712906,0.8222222222222222,0.775175644028103,0.6576354679802956,517,1139,450,427,812
Nepal_baseline_MLP,terramind-v1-base,0.7693664559753051,0.7740820734341253,0.8649534545756518,6945,0.22896161065640153,0.8607350096711799,0.8323090430201932,0.8355555555555556,0.7845433255269321,0.6317733990147784,517,1139,450,427,812
